Dataset,Feature,Mean_Positive,Median_Positive,Variance_Positive,Mean_Negative,Median_Negative,Variance_Negative
Dataset_1,occurrences,2.611111111111111,2.0,2.9043209876543212,2.059925093632959,1.0,17.696783514988287
Dataset_1,maxEndColumnNumberInCurrentLine,98.87037037037037,83.5,3003.1498628257887,90.65589887640449,76.0,3476.9710138923956
Dataset_1,charLength,24.666666666666668,20.0,308.6666666666665,20.956460674157302,14.0,599.6605575106258
Dataset_1,tokenLength,2.740740740740741,2.0,1.6735253772290817,3.852996254681648,2.0,41.87071199624066
Dataset_1,numsParentVariableDeclarationFragment,0.14382716049382716,0.0,0.08435490016765736,0.2606053457880695,0.0,0.17153070870739942
Dataset_1,isName,0.12962962962962962,0.0,0.11282578875171473,0.32724719101123595,0.0,0.22015646698649158
Dataset_1,isLiteral,0.0,0.0,0.0,0.12172284644194757,0.0,0.10690639509601763
Dataset_1,isGetMethod,0.42592592592592593,0.0,0.24451303155006857,0.09082397003745318,0.0,0.08257497650408899
Dataset_1,isArithmeticExp,0.018518518518518517,0.0,0.018175582990397805,0.23220973782771537,0.0,0.17828837548569906
Dataset_1,largestLineGap,7.666666666666667,2.0,157.62962962962962,7.58567415730337,0.0,514.0207498264109
Dataset_1,numsParentArithmeticExp,1.5185185185185186,1.0,12.323731138545952,2.129681647940075,0.0,45.44619765146095
Dataset_1,isMethodInvocation,0.7407407407407407,1.0,0.1920438957475994,0.15870786516853932,0.0,0.13351967870218406
Dataset_2,occurrences,1.9666666666666666,2.0,0.9988888888888886,1.93943661971831,1.0,10.268163062884348
Dataset_2,maxEndColumnNumberInCurrentLine,108.85,94.0,3190.5941666666668,90.08028169014085,75.0,3587.064446869007
Dataset_2,charLength,31.2,23.5,806.7600000000001,20.702347417840375,13.0,783.000604818268
Dataset_2,tokenLength,2.95,2.0,3.4808333333333343,3.692957746478873,2.0,33.83248561793295
Dataset_2,numsParentVariableDeclarationFragment,0.20277777777777778,0.0,0.14175154320987654,0.2435814834208351,0.0,0.16759227159569423
Dataset_2,isName,0.06666666666666667,0.0,0.062222222222222213,0.32816901408450705,0.0,0.22047411227930966
Dataset_2,isLiteral,0.0,0.0,0.0,0.13004694835680752,0.0,0.11313473957988933
Dataset_2,isGetMethod,0.55,1.0,0.24750000000000003,0.09483568075117371,0.0,0.08584187440763517
Dataset_2,isArithmeticExp,0.016666666666666666,0.0,0.01638888888888889,0.23990610328638498,0.0,0.18235116489232736
Dataset_2,largestLineGap,3.4,2.0,37.206666666666656,6.704694835680751,0.0,438.1489450946681
Dataset_2,numsParentArithmeticExp,1.35,1.0,5.960833333333334,2.0469483568075115,0.0,66.79497895038462
Dataset_2,isMethodInvocation,0.7166666666666667,1.0,0.20305555555555543,0.15352112676056337,0.0,0.1299523903987304
Dataset_3,occurrences,2.488888888888889,2.0,2.5165432098765437,2.103030303030303,1.0,12.067240234512962
Dataset_3,maxEndColumnNumberInCurrentLine,103.06666666666666,88.0,2423.217777777778,90.56456876456876,76.0,3439.471938100749
Dataset_3,charLength,27.955555555555556,23.0,472.7535802469136,20.77202797202797,14.0,622.4967467031803
Dataset_3,tokenLength,3.111111111111111,2.0,5.787654320987656,3.828904428904429,2.0,44.677020011845194
Dataset_3,numsParentVariableDeclarationFragment,0.1996296296296296,0.0,0.09946282578875174,0.24759740106185857,0.0,0.1641761929680741
Dataset_3,isName,0.08888888888888889,0.0,0.08098765432098765,0.3393939393939394,0.0,0.22420569329660245
Dataset_3,isLiteral,0.0,0.0,0.0,0.12214452214452215,0.0,0.1072252378546085
Dataset_3,isGetMethod,0.4,0.0,0.24000000000000002,0.09324009324009325,0.0,0.08454637825267199
Dataset_3,isArithmeticExp,0.06666666666666667,0.0,0.06222222222222222,0.23776223776223776,0.0,0.1812313560565309
Dataset_3,largestLineGap,8.644444444444444,3.0,215.11802469135802,7.493240093240093,0.0,546.132471786178
Dataset_3,numsParentArithmeticExp,1.7333333333333334,0.0,14.817777777777774,2.1235431235431235,0.0,50.673315185203286
Dataset_3,isMethodInvocation,0.6666666666666666,1.0,0.22222222222222218,0.15011655011655012,0.0,0.12758157149765545
Dataset_4,occurrences,2.5576923076923075,2.0,3.16974852071006,1.9275023386342376,1.0,7.816540160190975
Dataset_4,maxEndColumnNumberInCurrentLine,97.65384615384616,83.0,3507.226331360947,89.06548175865295,75.0,3374.4709226163654
Dataset_4,charLength,28.73076923076923,21.5,622.8890532544378,21.255846585594014,13.0,631.637535976464
Dataset_4,tokenLength,2.8076923076923075,2.0,2.424556213017752,4.07577174929841,2.0,54.390891008706106
Dataset_4,numsParentVariableDeclarationFragment,0.17596153846153847,0.0,0.1034232207429323,0.24068547361903608,0.0,0.16336387014776882
Dataset_4,isName,0.07692307692307693,0.0,0.07100591715976332,0.3381665107577175,0.0,0.22380992175966802
Dataset_4,isLiteral,0.0,0.0,0.0,0.12675397567820393,0.0,0.11068740532797322
Dataset_4,isGetMethod,0.5384615384615384,1.0,0.2485207100591716,0.09167446211412535,0.0,0.08327025511021115
Dataset_4,isArithmeticExp,0.019230769230769232,0.0,0.01886094674556213,0.2380729653882133,0.0,0.18139422853947584
Dataset_4,largestLineGap,7.6923076923076925,2.0,213.44378698224853,6.412067352666043,0.0,384.0186944164178
Dataset_4,numsParentArithmeticExp,1.0769230769230769,1.0,1.9556213017751483,2.101028999064546,0.0,66.26388107399536
Dataset_4,isMethodInvocation,0.7115384615384616,1.0,0.20525147928994075,0.1520112254443405,0.0,0.1289038127832504
